"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force(unsigned char, unsigned char, bool, float*)",1,"inst_executed_global_loads","Warp level instructions for global loads",0,0,0
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force(unsigned char, unsigned char, bool, float*)",1,"gld_transactions","Global Load Transactions",2,2,2
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force(unsigned char, unsigned char, bool, float*)",1,"gst_transactions","Global Store Transactions",524288,524288,524288
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force(unsigned char, unsigned char, bool, float*)",1,"shared_load_transactions","Shared Load Transactions",19005440,19005440,19005440
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force(unsigned char, unsigned char, bool, float*)",1,"shared_store_transactions","Shared Store Transactions",20316160,20316160,20316160
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force(unsigned char, unsigned char, bool, float*)",1,"l2_read_transactions","L2 Read Transactions",184,184,184
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force(unsigned char, unsigned char, bool, float*)",1,"l2_write_transactions","L2 Write Transactions",524301,524301,524301
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force(unsigned char, unsigned char, bool, float*)",1,"dram_read_transactions","Device Memory Read Transactions",86,86,86
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force(unsigned char, unsigned char, bool, float*)",1,"dram_write_transactions","Device Memory Write Transactions",523842,523842,523842
"NVIDIA GeForce GTX 1050 Ti (0)","reduce_argmin(float*, float*, unsigned int*)",6,"inst_executed_global_loads","Warp level instructions for global loads",135168,135168,135168
"NVIDIA GeForce GTX 1050 Ti (0)","reduce_argmin(float*, float*, unsigned int*)",6,"gld_transactions","Global Load Transactions",2113538,2113538,2113538
"NVIDIA GeForce GTX 1050 Ti (0)","reduce_argmin(float*, float*, unsigned int*)",6,"gst_transactions","Global Store Transactions",4101,4119,4111
"NVIDIA GeForce GTX 1050 Ti (0)","reduce_argmin(float*, float*, unsigned int*)",6,"shared_load_transactions","Shared Load Transactions",303104,359708,314628
"NVIDIA GeForce GTX 1050 Ti (0)","reduce_argmin(float*, float*, unsigned int*)",6,"shared_store_transactions","Shared Store Transactions",262144,375352,285192
"NVIDIA GeForce GTX 1050 Ti (0)","reduce_argmin(float*, float*, unsigned int*)",6,"l2_read_transactions","L2 Read Transactions",649463,650095,649774
"NVIDIA GeForce GTX 1050 Ti (0)","reduce_argmin(float*, float*, unsigned int*)",6,"l2_write_transactions","L2 Write Transactions",125139,125576,125331
"NVIDIA GeForce GTX 1050 Ti (0)","reduce_argmin(float*, float*, unsigned int*)",6,"dram_read_transactions","Device Memory Read Transactions",524294,524702,524428
"NVIDIA GeForce GTX 1050 Ti (0)","reduce_argmin(float*, float*, unsigned int*)",6,"dram_write_transactions","Device Memory Write Transactions",49,138,106
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force_AL(unsigned char, float*)",5,"inst_executed_global_loads","Warp level instructions for global loads",0,0,0
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force_AL(unsigned char, float*)",5,"gld_transactions","Global Load Transactions",2,2,2
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force_AL(unsigned char, float*)",5,"gst_transactions","Global Store Transactions",524288,524288,524288
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force_AL(unsigned char, float*)",5,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force_AL(unsigned char, float*)",5,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force_AL(unsigned char, float*)",5,"l2_read_transactions","L2 Read Transactions",96,440,243
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force_AL(unsigned char, float*)",5,"l2_write_transactions","L2 Write Transactions",524301,524301,524301
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force_AL(unsigned char, float*)",5,"dram_read_transactions","Device Memory Read Transactions",38,382,174
"NVIDIA GeForce GTX 1050 Ti (0)","brute_force_AL(unsigned char, float*)",5,"dram_write_transactions","Device Memory Write Transactions",523275,523646,523494
