==6308== Profiling application: ./exe -mN 15 -MN 15 -mM 10 -MM 10 -ml=0 -mu 0.1 -l -a 1000 -i 1 -r 0.1 -PCRl 0.01,1,0,1 -c
==6308== Profiling result:
==6308== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force(double const *, double const *, double const *, unsigned char, unsigned char, bool, bool*, double*)
          1                 tex0_cache_sector_queries     2052864     2052864     2052864     2052864
          1                 tex1_cache_sector_queries     2075904     2075904     2075904     2075904
          1                  tex0_cache_sector_misses     1377136     1377136     1377136     1377136
          1                  tex1_cache_sector_misses     1369200     1369200     1369200     1369200
          1                     fb_subp0_read_sectors       86834       86834       86834       86834
          1                     fb_subp1_read_sectors       88538       88538       88538       88538
          1                    fb_subp0_write_sectors      355896      355896      355896      355896
          1                    fb_subp1_write_sectors      342174      342174      342174      342174
          1              l2_subp0_write_sector_misses      349228      349228      349228      349228
          1              l2_subp1_write_sector_misses      348842      348842      348842      348842
          1               l2_subp0_read_sector_misses       88094       88094       88094       88094
          1               l2_subp1_read_sector_misses       87278       87278       87278       87278
          1          l2_subp0_read_tex_sector_queries      446503      446503      446503      446503
          1          l2_subp1_read_tex_sector_queries      444345      444345      444345      444345
          1         l2_subp0_write_tex_sector_queries      485924      485924      485924      485924
          1         l2_subp1_write_tex_sector_queries      485852      485852      485852      485852
          1             l2_subp0_read_tex_hit_sectors      357136      357136      357136      357136
          1             l2_subp1_read_tex_hit_sectors      355860      355860      355860      355860
          1            l2_subp0_write_tex_hit_sectors      443819      443819      443819      443819
          1            l2_subp1_write_tex_hit_sectors      443464      443464      443464      443464
          1        l2_subp0_total_read_sector_queries      446625      446625      446625      446625
          1        l2_subp1_total_read_sector_queries      444448      444448      444448      444448
          1       l2_subp0_total_write_sector_queries      485933      485933      485933      485933
          1       l2_subp1_total_write_sector_queries      485856      485856      485856      485856
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm     4048611     4048611     4048611     4048611
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit     3276800     3276800     3276800     3276800
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit       32768       32768       32768       32768
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit       32768       32768       32768       32768
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched        1024        1024        1024        1024
          1                              inst_issued0    13997729    13997729    13997729    13997729
          1                              inst_issued1     1192472     1192472     1192472     1192472
          1                              inst_issued2      175104      175104      175104      175104
          1                             inst_executed     1542144     1542144     1542144     1542144
          1                      thread_inst_executed    42385408    42385408    42385408    42385408
          1   not_predicated_off_thread_inst_executed    40304640    40304640    40304640    40304640
          1                             active_cycles     3770355     3770355     3770355     3770355
          1                              active_warps   222284638   222284638   222284638   222284638
          1                               global_load      128000      128000      128000      128000
          1                              global_store        2048        2048        2048        2048
          1                              generic_load           0           0           0           0
          1                             generic_store           0           0           0           0
          1                     inst_executed_in_trap           0           0           0           0
          1                     active_cycles_in_trap           0           0           0           0
          1                               local_store      134144      134144      134144      134144
          1                                local_load      143360      143360      143360      143360
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1             inst_executed_shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                          divergent_branch           0           0           0           0
          1                                    branch      132096      132096      132096      132096
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0
          1                          active_cycles_pm     3880642     3880642     3880642     3880642
          1                           active_warps_pm   229452742   229452742   229452742   229452742
          1                         elapsed_cycles_pm     4084038     4084038     4084038     4084038
    Kernel: reduce_argmin_feasible(double*, bool*, double*, int*)
          1                 tex0_cache_sector_queries        6625        6625        6625        6625
          1                 tex1_cache_sector_queries        6544        6544        6544        6544
          1                  tex0_cache_sector_misses        5034        5034        5034        5034
          1                  tex1_cache_sector_misses        5065        5065        5065        5065
          1                     fb_subp0_read_sectors           0           0           0           0
          1                     fb_subp1_read_sectors           0           0           0           0
          1                    fb_subp0_write_sectors           8           8           8           8
          1                    fb_subp1_write_sectors          31          31          31          31
          1              l2_subp0_write_sector_misses          31          31          31          31
          1              l2_subp1_write_sector_misses           8           8           8           8
          1               l2_subp0_read_sector_misses           0           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0           0
          1          l2_subp0_read_tex_sector_queries        4608        4608        4608        4608
          1          l2_subp1_read_tex_sector_queries        4640        4640        4640        4640
          1         l2_subp0_write_tex_sector_queries           0           0           0           0
          1         l2_subp1_write_tex_sector_queries          35          35          35          35
          1             l2_subp0_read_tex_hit_sectors        4608        4608        4608        4608
          1             l2_subp1_read_tex_hit_sectors        4640        4640        4640        4640
          1            l2_subp0_write_tex_hit_sectors           0           0           0           0
          1            l2_subp1_write_tex_hit_sectors          35          35          35          35
          1        l2_subp0_total_read_sector_queries        4624        4624        4624        4624
          1        l2_subp1_total_read_sector_queries        5462        5462        5462        5462
          1       l2_subp0_total_write_sector_queries           5           5           5           5
          1       l2_subp1_total_write_sector_queries         847         847         847         847
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm      245295      245295      245295      245295
          1                             gld_inst_8bit       32768       32768       32768       32768
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit       32800       32800       32800       32800
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit          36          36          36          36
          1                            gst_inst_64bit           3           3           3           3
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched        1024        1024        1024        1024
          1                              inst_issued0      420486      420486      420486      420486
          1                              inst_issued1       48912       48912       48912       48912
          1                              inst_issued2        8832        8832        8832        8832
          1                             inst_executed       65852       65852       65852       65852
          1                      thread_inst_executed     1871212     1871212     1871212     1871212
          1   not_predicated_off_thread_inst_executed     1739782     1739782     1739782     1739782
          1                             active_cycles      204086      204086      204086      204086
          1                              active_warps     1486676     1486676     1486676     1486676
          1                               global_load        2080        2080        2080        2080
          1                              global_store        1120        1120        1120        1120
          1                              generic_load           0           0           0           0
          1                             generic_store           0           0           0           0
          1                     inst_executed_in_trap           0           0           0           0
          1                     active_cycles_in_trap           0           0           0           0
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load        4768        4768        4768        4768
          1                              shared_store        6528        6528        6528        6528
          1             inst_executed_shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas         814         814         814         814
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                          divergent_branch         192         192         192         192
          1                                    branch        8283        8283        8283        8283
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions        5856        5856        5856        5856
          1                    shared_st_transactions        8704        8704        8704        8704
          1                          active_cycles_pm      208750      208750      208750      208750
          1                           active_warps_pm     1482900     1482900     1482900     1482900
          1                         elapsed_cycles_pm      245781      245781      245781      245781
    Kernel: brute_force_AL(double const *, unsigned char, double*)
          4                 tex0_cache_sector_queries      815104      815104      815104     3260416
          4                 tex1_cache_sector_queries      815104      815104      815104     3260416
          4                  tex0_cache_sector_misses       74040       74064       74049      296198
          4                  tex1_cache_sector_misses       74024       74060       74043      296172
          4                     fb_subp0_read_sectors           4         240         117         468
          4                     fb_subp1_read_sectors          16         328         148         592
          4                    fb_subp0_write_sectors        2994        4429        3393       13573
          4                    fb_subp1_write_sectors        3019        4707        3561       14245
          4              l2_subp0_write_sector_misses        2995        4594        3483       13934
          4              l2_subp1_write_sector_misses        3039        4542        3471       13884
          4               l2_subp0_read_sector_misses           4         280         127         508
          4               l2_subp1_read_sector_misses          16         288         138         552
          4          l2_subp0_read_tex_sector_queries        8520        8536        8529       34116
          4          l2_subp1_read_tex_sector_queries        8476        8520        8491       33966
          4         l2_subp0_write_tex_sector_queries       34888       34892       34891      139564
          4         l2_subp1_write_tex_sector_queries       34740       34744       34741      138964
          4             l2_subp0_read_tex_hit_sectors        8484        8520        8509       34036
          4             l2_subp1_read_tex_hit_sectors        8448        8492        8467       33870
          4            l2_subp0_write_tex_hit_sectors       33576       34876       34550      138200
          4            l2_subp1_write_tex_hit_sectors       33456       34712       34394      137576
          4        l2_subp0_total_read_sector_queries        8540        8624        8563       34252
          4        l2_subp1_total_read_sector_queries        8498        8634        8544       34178
          4       l2_subp0_total_write_sector_queries       34893       34897       34894      139576
          4       l2_subp1_total_write_sector_queries       34748       34752       34751      139004
          4       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          4       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          4      l2_subp0_write_sysmem_sector_queries           5           5           5          20
          4      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          4                         elapsed_cycles_sm     3463764     3482805     3472110    13888440
          4                             gld_inst_8bit           0           0           0           0
          4                            gld_inst_16bit           0           0           0           0
          4                            gld_inst_32bit           0           0           0           0
          4                            gld_inst_64bit     3932160     3932160     3932160    15728640
          4                           gld_inst_128bit           0           0           0           0
          4                             gst_inst_8bit           0           0           0           0
          4                            gst_inst_16bit           0           0           0           0
          4                            gst_inst_32bit           0           0           0           0
          4                            gst_inst_64bit       32768       32768       32768      131072
          4                           gst_inst_128bit           0           0           0           0
          4                           prof_trigger_00           0           0           0           0
          4                           prof_trigger_01           0           0           0           0
          4                           prof_trigger_02           0           0           0           0
          4                           prof_trigger_03           0           0           0           0
          4                           prof_trigger_04           0           0           0           0
          4                           prof_trigger_05           0           0           0           0
          4                           prof_trigger_06           0           0           0           0
          4                           prof_trigger_07           0           0           0           0
          4                            warps_launched        1024        1024        1024        4096
          4                              inst_issued0     9752647     9871790     9792308    39169232
          4                              inst_issued1     1992094     1992189     1992143     7968575
          4                              inst_issued2      397312      397314      397312     1589251
          4                             inst_executed     2786304     2786304     2786304    11145216
          4                      thread_inst_executed    89161728    89161728    89161728   356646912
          4   not_predicated_off_thread_inst_executed    84803584    84803584    84803584   339214336
          4                             active_cycles     3033651     3036444     3034922    12139690
          4                              active_warps   171810612   174507496   173093533   692374134
          4                               global_load      126976      126976      126976      507904
          4                              global_store        1024        1024        1024        4096
          4                              generic_load           0           0           0           0
          4                             generic_store           0           0           0           0
          4                     inst_executed_in_trap           0           0           0           0
          4                     active_cycles_in_trap           0           0           0           0
          4                               local_store       15360       15360       15360       61440
          4                                local_load      130048      130048      130048      520192
          4                               shared_load           0           0           0           0
          4                              shared_store           0           0           0           0
          4             inst_executed_shared_atom_cas           0           0           0           0
          4                               shared_atom           0           0           0           0
