==16178== NVPROF is profiling process 16178, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==16178== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16178== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==16178== Profiling result:
==16178== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_coarsening(unsigned char, unsigned char, unsigned int, bool, float*, unsigned long*)
          1                 tex0_cache_sector_queries      262144      262144      262144      262144
          1                 tex1_cache_sector_queries      262144      262144      262144      262144
          1                  tex0_cache_sector_misses      262160      262160      262160      262160
          1                  tex1_cache_sector_misses      262128      262128      262128      262128
          1                     fb_subp0_read_sectors          21          21          21          21
          1                     fb_subp1_read_sectors          32          32          32          32
          1                    fb_subp0_write_sectors      196118      196118      196118      196118
          1                    fb_subp1_write_sectors      196092      196092      196092      196092
          1              l2_subp0_write_sector_misses      196138      196138      196138      196138
          1              l2_subp1_write_sector_misses      196072      196072      196072      196072
          1               l2_subp0_read_sector_misses          32          32          32          32
          1               l2_subp1_read_sector_misses          21          21          21          21
          1          l2_subp0_read_tex_sector_queries           0           0           0           0
          1          l2_subp1_read_tex_sector_queries           0           0           0           0
          1         l2_subp0_write_tex_sector_queries      196608      196608      196608      196608
          1         l2_subp1_write_tex_sector_queries      196608      196608      196608      196608
          1             l2_subp0_read_tex_hit_sectors           0           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0           0
          1            l2_subp0_write_tex_hit_sectors           0           0           0           0
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries          80          80          80          80
          1        l2_subp1_total_read_sector_queries          48          48          48          48
          1       l2_subp0_total_write_sector_queries      196613      196613      196613      196613
          1       l2_subp1_total_write_sector_queries      196616      196616      196616      196616
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm    28978917    28978917    28978917    28978917
