==16103== NVPROF is profiling process 16103, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==16103== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==16103== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
175.62ms  18.085us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetPCIBusId
217.87ms  3.6830us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
217.87ms     616ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
218.57ms  1.4600us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
218.58ms  1.6970us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.59ms     592ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.59ms     789ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.62ms     902ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuModuleGetLoadingMode
218.69ms     609ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
218.69ms     414ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
218.69ms  41.190us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetName
218.74ms  14.442us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceTotalMem
218.75ms     915ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.75ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.75ms     531ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.75ms     580ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.75ms     779ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.76ms  86.033us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.84ms     585ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.84ms     421ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.85ms     437ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.85ms     493ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.85ms     893ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.85ms     424ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.85ms     422ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.85ms     476ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.85ms     436ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.85ms     433ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.85ms     427ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.85ms     426ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.85ms     428ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
218.86ms     422ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
