==15735== NVPROF is profiling process 15735, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15735== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15735== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
168.19ms  16.730us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetPCIBusId
198.62ms  2.2300us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
198.62ms     601ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
199.26ms  1.4460us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
199.26ms  1.2960us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.27ms     542ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.28ms     756ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.30ms     913ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuModuleGetLoadingMode
199.37ms     485ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
199.37ms     372ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
199.37ms  26.520us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetName
199.40ms  12.970us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceTotalMem
199.41ms     844ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.41ms     444ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.42ms     492ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.42ms     527ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.42ms     730ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.42ms  75.597us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.49ms     551ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.50ms     393ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.50ms     445ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.50ms     440ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.50ms     871ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.50ms     406ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.50ms     394ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.50ms     399ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.50ms     400ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.50ms     359ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.50ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.50ms     363ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     450ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     371ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     385ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     358ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     359ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     413ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     372ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     403ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     395ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.51ms     370ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     402ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     409ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     364ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     365ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     394ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     370ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     361ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     409ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     361ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     364ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.52ms     395ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     387ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     363ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     415ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     351ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     375ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     374ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     370ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     357ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     361ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms  156.33us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.69ms     464ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.69ms     422ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.69ms     526ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
