==14997== NVPROF is profiling process 14997, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14997== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14997== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
168.91ms  16.894us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetPCIBusId
199.65ms  3.8840us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
199.66ms     750ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
200.41ms  2.0090us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
200.42ms  1.7120us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.43ms     676ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.43ms     864ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.46ms     883ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuModuleGetLoadingMode
200.54ms     656ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
200.54ms     449ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
200.55ms  56.167us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetName
200.60ms  15.842us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceTotalMem
200.62ms  1.1870us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.62ms     549ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.62ms     714ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.62ms     679ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.63ms     725ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.63ms  89.117us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.72ms     596ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.72ms     489ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.72ms     549ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.72ms     513ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.72ms  1.3490us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.72ms     498ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.72ms     493ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.73ms     507ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.73ms     544ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.73ms     493ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.73ms     491ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.73ms     499ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.73ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.73ms     489ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.73ms     540ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.73ms     518ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.73ms     473ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.74ms     469ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.74ms     471ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.74ms     519ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.74ms     472ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.74ms     488ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.74ms     493ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.74ms     491ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.74ms     494ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.74ms     495ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.74ms     554ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.75ms     497ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.75ms     497ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.75ms     538ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.75ms     499ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.75ms     518ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.75ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.75ms     542ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.75ms     497ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.75ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.76ms     500ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.76ms     537ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.76ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.76ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.76ms     542ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.76ms     554ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.76ms     462ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.76ms     648ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.76ms     500ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.76ms     500ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.77ms     498ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.77ms     500ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.77ms     527ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.77ms  207.12us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.98ms     674ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.98ms     547ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.98ms     680ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.98ms     473ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.98ms     551ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.98ms     589ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.98ms     558ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.98ms     667ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.99ms     471ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.99ms     501ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.99ms     471ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.99ms     520ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.99ms     503ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.99ms     545ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.99ms     500ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.99ms     504ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.99ms     531ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.99ms  1.0580us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.00ms     518ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.00ms     504ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.00ms     500ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.00ms  141.00us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.14ms     627ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.14ms     560ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.14ms     515ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.14ms     536ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.15ms     537ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.15ms     506ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.15ms     497ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.15ms  1.8140us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.15ms     525ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.15ms     505ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.15ms     490ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.15ms  1.6360us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.16ms     501ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.16ms     912ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.16ms     451ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.16ms     529ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.16ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.16ms     732ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetUuid
201.16ms     614ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.17ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.17ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.17ms     490ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.17ms  1.6520us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.17ms     658ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.17ms     500ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.17ms     868ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.17ms     520ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.17ms     495ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.18ms     493ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.18ms     585ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.18ms     544ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.18ms     582ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.18ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.18ms     522ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
201.33ms  321.05us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetDeviceProperties
202.38ms  283.29ms                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
485.67ms  78.698us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
485.75ms  4.7120us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
485.75ms  3.6380us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
