==13469== NVPROF is profiling process 13469, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==13469== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==13469== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
181.63ms  18.778us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetPCIBusId
215.07ms  3.6810us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
215.07ms     656ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
215.79ms  1.9310us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
215.79ms  1.6980us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
215.80ms     581ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
215.80ms     797ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
215.83ms     874ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuModuleGetLoadingMode
215.91ms     587ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
215.91ms     436ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
215.91ms  41.841us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetName
215.95ms  13.982us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceTotalMem
215.97ms     986ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
215.97ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
215.97ms     549ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
215.97ms     601ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
215.97ms     604ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
215.97ms  87.323us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.06ms     605ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
