==15394== NVPROF is profiling process 15394, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15394== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15394== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
163.17ms  16.505us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetPCIBusId
203.65ms  2.1640us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
203.66ms     601ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
204.23ms  1.4480us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
204.23ms  1.5050us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.24ms     495ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.24ms  1.1220us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.26ms     750ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuModuleGetLoadingMode
204.32ms     542ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
204.32ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
204.32ms  26.549us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetName
204.35ms  12.151us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceTotalMem
204.37ms     882ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.37ms     418ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.37ms     460ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.37ms     504ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.37ms     557ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.37ms  95.604us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.47ms     446ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.47ms     368ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.47ms     502ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.47ms     441ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.47ms     862ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.47ms     421ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.47ms     418ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.47ms     461ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.47ms     469ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     426ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     420ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     421ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     423ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     421ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     452ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     407ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     420ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     430ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     430ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     466ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.48ms     424ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     431ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     424ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     423ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     420ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     419ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     475ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     425ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     422ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     457ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     428ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     431ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.49ms     430ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     450ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     400ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     419ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     426ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     458ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     415ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     424ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     424ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     469ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     412ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     422ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.50ms     424ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.51ms     422ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.51ms     420ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.51ms     425ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.51ms     425ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.51ms  149.27us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.66ms     454ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.66ms     432ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.66ms     512ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.66ms     415ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.66ms     419ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.66ms     424ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.66ms     450ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     480ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     441ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     396ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     401ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     408ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     406ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     496ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     402ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     404ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     401ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     483ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.68ms     437ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.68ms     436ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.68ms     421ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.68ms  124.25us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.80ms     432ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.80ms     472ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.80ms     450ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.81ms     460ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.81ms     460ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.81ms     434ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.81ms     419ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.81ms  1.4170us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.81ms     474ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.81ms     427ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.81ms     423ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.81ms  1.0050us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.81ms     442ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.82ms     692ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.82ms     391ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
