==14415== NVPROF is profiling process 14415, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14415== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14415== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
162.66ms  27.303us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetPCIBusId
195.80ms  3.3620us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
195.81ms     701ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
196.66ms  2.5670us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
196.66ms  2.1740us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
196.67ms     560ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
196.67ms     737ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
196.71ms     903ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuModuleGetLoadingMode
196.80ms     580ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
196.80ms     477ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
196.81ms  65.187us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetName
196.87ms  18.166us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceTotalMem
196.89ms     996ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
196.89ms     477ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
196.89ms     659ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
196.90ms     618ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
196.90ms     701ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
196.90ms  97.743us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.00ms     531ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.00ms     435ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.00ms     498ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.00ms     457ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.00ms  1.2210us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.00ms     460ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.00ms     455ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.00ms     457ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     463ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     429ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     429ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     436ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     426ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     433ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     466ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     429ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     434ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     433ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     434ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.01ms     425ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.02ms     435ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.02ms     431ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.02ms     433ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.02ms     428ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.02ms     429ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.02ms     426ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.02ms     447ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.02ms     453ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.02ms     429ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.02ms     516ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.02ms     434ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.03ms     475ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.03ms     430ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.03ms     465ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.03ms     429ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.03ms     424ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.03ms     427ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.03ms     435ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.03ms     424ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
