==7790== NVPROF is profiling process 7790, command: ./exe -mN 20 -MN 20 -mM 10 -MM 10 -ml=0 -mu 0.1 -l -a 1000 -i 10 -r 0.1 -PCRq 0.3,2,1,2 -c -s -f
==7790== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7790== Profiling application: ./exe -mN 20 -MN 20 -mM 10 -MM 10 -ml=0 -mu 0.1 -l -a 1000 -i 10 -r 0.1 -PCRq 0.3,2,1,2 -c -s -f
==7790== Profiling result:
==7790== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force(unsigned char, unsigned char, bool, float*)
         10                             inst_per_warp                                                 Instructions per warp  2.2199e+03  4.3697e+03  3.2560e+03
         10                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
         10                 warp_execution_efficiency                                             Warp Execution Efficiency      52.71%      84.37%      68.55%
         10         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      50.60%      80.84%      65.76%
         10                      inst_replay_overhead                                           Instruction Replay Overhead    0.000013    0.000017    0.000014
         10      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.000000    1.000000    1.000000
         10     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    1.000000    1.000000    1.000000
         10       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
         10      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
         10              gld_transactions_per_request                                  Global Load Transactions Per Request    0.000000    0.000000    0.000000
         10              gst_transactions_per_request                                 Global Store Transactions Per Request    4.000000    4.000000    4.000000
         10                 shared_store_transactions                                             Shared Store Transactions     4751360     4751360     4751360
         10                  shared_load_transactions                                              Shared Load Transactions     4423680     4423680     4423680
         10                   local_load_transactions                                               Local Load Transactions           0           0           0
         10                  local_store_transactions                                              Local Store Transactions           0           0           0
         10                          gld_transactions                                              Global Load Transactions           2           2           2
         10                          gst_transactions                                             Global Store Transactions      131072      131072      131072
         10                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
         10                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
         10                      l2_read_transactions                                                  L2 Read Transactions         176         464         233
         10                     l2_write_transactions                                                 L2 Write Transactions      131085      131085      131085
         10                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         10                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
         10                  gld_requested_throughput                                      Requested Global Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                  gst_requested_throughput                                     Requested Global Store Throughput  598.90MB/s  1.4644GB/s  850.44MB/s
         10                            gld_throughput                                                Global Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                            gst_throughput                                               Global Store Throughput  598.90MB/s  1.4644GB/s  850.44MB/s
         10                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
         10                        tex_cache_hit_rate                                                Unified Cache Hit Rate      50.00%      50.00%      50.00%
         10                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)       0.00%       0.00%       0.00%
         10                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)       0.00%       0.00%       0.00%
         10                      tex_cache_throughput                                              Unified Cache Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  0.00000B/s  0.00000B/s  0.00000B/s
         10                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  598.90MB/s  1.4644GB/s  850.44MB/s
         10                        l2_read_throughput                                                 L2 Throughput (Reads)  910.68KB/s  5.3084MB/s  1.5157MB/s
