==15061== NVPROF is profiling process 15061, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15061== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15061== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15061== Profiling result:
==15061== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force(unsigned char, unsigned char, bool, float*)
          1                 tex0_cache_sector_queries    38584096    38584096    38584096    38584096
          1                 tex1_cache_sector_queries    38581792    38581792    38581792    38581792
          1                  tex0_cache_sector_misses    11397030    11397030    11397030    11397030
          1                  tex1_cache_sector_misses    11396094    11396094    11396094    11396094
          1                     fb_subp0_read_sectors         118         118         118         118
          1                     fb_subp1_read_sectors          80          80          80          80
          1                    fb_subp0_write_sectors      317953      317953      317953      317953
          1                    fb_subp1_write_sectors      329238      329238      329238      329238
          1              l2_subp0_write_sector_misses      328335      328335      328335      328335
          1              l2_subp1_write_sector_misses      318856      318856      318856      318856
          1               l2_subp0_read_sector_misses          88          88          88          88
          1               l2_subp1_read_sector_misses         110         110         110         110
          1          l2_subp0_read_tex_sector_queries     3484652     3484652     3484652     3484652
          1          l2_subp1_read_tex_sector_queries     3317688     3317688     3317688     3317688
          1         l2_subp0_write_tex_sector_queries     4192224     4192224     4192224     4192224
          1         l2_subp1_write_tex_sector_queries     3999776     3999776     3999776     3999776
          1             l2_subp0_read_tex_hit_sectors     3518174     3518174     3518174     3518174
          1             l2_subp1_read_tex_hit_sectors     3346184     3346184     3346184     3346184
          1            l2_subp0_write_tex_hit_sectors     4120876     4120876     4120876     4120876
          1            l2_subp1_write_tex_hit_sectors     3925888     3925888     3925888     3925888
          1        l2_subp0_total_read_sector_queries     3488354     3488354     3488354     3488354
          1        l2_subp1_total_read_sector_queries     3322190     3322190     3322190     3322190
          1       l2_subp0_total_write_sector_queries     4189877     4189877     4189877     4189877
          1       l2_subp1_total_write_sector_queries     4002136     4002136     4002136     4002136
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm    30999351    30999351    30999351    30999351
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit     1048576     1048576     1048576     1048576
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched       32768       32768       32768       32768
          1                              inst_issued0    42565676    42565676    42565676    42565676
          1                              inst_issued1    59877432    59877432    59877432    59877432
          1                              inst_issued2    19026784    19026784    19026784    19026784
          1                             inst_executed    97929968    97929968    97929968    97929968
          1                      thread_inst_executed  2442191104  2442191104  2442191104  2442191104
          1   not_predicated_off_thread_inst_executed  2305891584  2305891584  2305891584  2305891584
