==13524== NVPROF is profiling process 13524, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==13524== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13524== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==13524== Profiling result:
==13524== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_coarsening(unsigned char, unsigned char, unsigned int, bool, float*, unsigned long*)
          1                 tex0_cache_sector_queries      262112      262112      262112      262112
          1                 tex1_cache_sector_queries      262176      262176      262176      262176
          1                  tex0_cache_sector_misses      262144      262144      262144      262144
          1                  tex1_cache_sector_misses      262144      262144      262144      262144
          1                     fb_subp0_read_sectors         369         369         369         369
          1                     fb_subp1_read_sectors         272         272         272         272
          1                    fb_subp0_write_sectors      196300      196300      196300      196300
          1                    fb_subp1_write_sectors      196350      196350      196350      196350
          1              l2_subp0_write_sector_misses      196310      196310      196310      196310
          1              l2_subp1_write_sector_misses      196340      196340      196340      196340
          1               l2_subp0_read_sector_misses         312         312         312         312
          1               l2_subp1_read_sector_misses         329         329         329         329
          1          l2_subp0_read_tex_sector_queries           0           0           0           0
          1          l2_subp1_read_tex_sector_queries           0           0           0           0
          1         l2_subp0_write_tex_sector_queries      196608      196608      196608      196608
          1         l2_subp1_write_tex_sector_queries      196608      196608      196608      196608
          1             l2_subp0_read_tex_hit_sectors           0           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0           0
          1            l2_subp0_write_tex_hit_sectors           0           0           0           0
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries         288         288         288         288
          1        l2_subp1_total_read_sector_queries         304         304         304         304
          1       l2_subp0_total_write_sector_queries      196620      196620      196620      196620
          1       l2_subp1_total_write_sector_queries      196609      196609      196609      196609
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm    29473839    29473839    29473839    29473839
