==15453== NVPROF is profiling process 15453, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15453== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15453== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15453== Profiling result:
==15453== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force(unsigned char, unsigned char, bool, float*)
          1                 tex0_cache_sector_queries      131072      131072      131072      131072
          1                 tex1_cache_sector_queries      131072      131072      131072      131072
          1                  tex0_cache_sector_misses      131072      131072      131072      131072
          1                  tex1_cache_sector_misses      131072      131072      131072      131072
          1                     fb_subp0_read_sectors         110         110         110         110
          1                     fb_subp1_read_sectors          88          88          88          88
          1                    fb_subp0_write_sectors       65225       65225       65225       65225
          1                    fb_subp1_write_sectors       65261       65261       65261       65261
          1              l2_subp0_write_sector_misses       65243       65243       65243       65243
          1              l2_subp1_write_sector_misses       65243       65243       65243       65243
          1               l2_subp0_read_sector_misses          88          88          88          88
          1               l2_subp1_read_sector_misses         110         110         110         110
          1          l2_subp0_read_tex_sector_queries           0           0           0           0
          1          l2_subp1_read_tex_sector_queries           0           0           0           0
          1         l2_subp0_write_tex_sector_queries       65536       65536       65536       65536
          1         l2_subp1_write_tex_sector_queries       65536       65536       65536       65536
          1             l2_subp0_read_tex_hit_sectors           0           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0           0
          1            l2_subp0_write_tex_hit_sectors           0           0           0           0
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries          48          48          48          48
          1        l2_subp1_total_read_sector_queries          80          80          80          80
          1       l2_subp0_total_write_sector_queries       65541       65541       65541       65541
          1       l2_subp1_total_write_sector_queries       65544       65544       65544       65544
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm    23751975    23751975    23751975    23751975
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit     1048576     1048576     1048576     1048576
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched       32768       32768       32768       32768
          1                              inst_issued0    15693229    15693229    15693229    15693229
          1                              inst_issued1    68006792    68006792    68006792    68006792
          1                              inst_issued2    10281730    10281730    10281730    10281730
          1                             inst_executed    88569344    88569344    88569344    88569344
          1                      thread_inst_executed  1996983552  1996983552  1996983552  1996983552
          1   not_predicated_off_thread_inst_executed  1821024000  1821024000  1821024000  1821024000
          1                             active_cycles    23636057    23636057    23636057    23636057
          1                              active_warps  1258535170  1258535170  1258535170  1258535170
          1                               global_load           0           0           0           0
          1                              global_store       32768       32768       32768       32768
          1                              generic_load           0           0           0           0
