==14471== NVPROF is profiling process 14471, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14471== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14471== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14471== Profiling result:
==14471== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_AL(float const *, unsigned char, float*)
          7                 tex0_cache_sector_queries    30960109    30960147    30960124   216720873
          7                 tex1_cache_sector_queries    30960109    30960147    30960131   216720919
          7                  tex0_cache_sector_misses     3087303     3088274     3087641    21613493
          7                  tex1_cache_sector_misses     3087182     3087998     3087404    21611834
          7                     fb_subp0_read_sectors          17         286          73         516
          7                     fb_subp1_read_sectors          16         296          83         584
          7                    fb_subp0_write_sectors      112514      120979      117901      825312
          7                    fb_subp1_write_sectors      100015      105503      103168      722177
          7              l2_subp0_write_sector_misses      111146      118733      116036      812252
          7              l2_subp1_write_sector_misses      101383      107904      105034      735240
          7               l2_subp0_read_sector_misses          16         280          76         536
          7               l2_subp1_read_sector_misses          17         302          80         564
          7          l2_subp0_read_tex_sector_queries      337824      338716      338104     2366728
          7          l2_subp1_read_tex_sector_queries      331637      332532      331918     2323431
          7         l2_subp0_write_tex_sector_queries     1383280     1383568     1383499     9684496
          7         l2_subp1_write_tex_sector_queries     1368944     1369232     1369012     9583088
          7             l2_subp0_read_tex_hit_sectors      337856      340916      339027     2373192
          7             l2_subp1_read_tex_hit_sectors      331658      334826      332838     2329872
          7            l2_subp0_write_tex_hit_sectors     1313948     1314172     1314103     9198724
          7            l2_subp1_write_tex_hit_sectors     1299588     1299812     1299656     9097596
          7        l2_subp0_total_read_sector_queries      337852      339224      338190     2367336
          7        l2_subp1_total_read_sector_queries      331617      332990      331957     2323704
          7       l2_subp0_total_write_sector_queries     1383493     1383605     1383545     9684819
          7       l2_subp1_total_write_sector_queries     1368920     1369032     1368979     9582856
          7       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          7       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          7      l2_subp0_write_sysmem_sector_queries           5           5           5          35
          7      l2_subp1_write_sysmem_sector_queries           0           0           0           0
