==14088== NVPROF is profiling process 14088, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14088== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14088== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14088== Profiling result:
==14088== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_AL(float const *, unsigned char, float*)
          7                             inst_per_warp                                                 Instructions per warp  4.1710e+03  4.1710e+03  4.1710e+03
          7                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          7                 warp_execution_efficiency                                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          7         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      96.09%      96.09%      96.09%
          7                      inst_replay_overhead                                           Instruction Replay Overhead    0.000013    0.000017    0.000015
          7      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          7     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          7       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    7.818182    7.818182    7.818182
          7      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    4.000000    4.000000    4.000000
          7              gld_transactions_per_request                                  Global Load Transactions Per Request   15.627907   15.627907   15.627907
          7              gst_transactions_per_request                                 Global Store Transactions Per Request    4.000000    4.000000    4.000000
          7                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          7                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          7                   local_load_transactions                                               Local Load Transactions    56360960    56360960    56360960
          7                  local_store_transactions                                              Local Store Transactions     2621440     2621440     2621440
          7                          gld_transactions                                              Global Load Transactions   110100482   110100482   110100482
          7                          gst_transactions                                             Global Store Transactions      131072      131072      131072
          7                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          7                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          7                      l2_read_transactions                                                  L2 Read Transactions      670029      670824      670517
          7                     l2_write_transactions                                                 L2 Write Transactions     2752525     2752525     2752525
          7                           global_hit_rate                                     Global Hit Rate in unified l1/tex      99.82%      99.82%      99.82%
