==14112== NVPROF is profiling process 14112, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14112== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14112== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14112== Profiling result:
==14112== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_AL(float const *, unsigned char, float*)
          6                 tex0_cache_sector_queries    44695552    44695552    44695552   268173312
          6                 tex1_cache_sector_queries    44695552    44695552    44695552   268173312
          6                  tex0_cache_sector_misses     3089353     3090687     3089928    18539569
          6                  tex1_cache_sector_misses     3086448     3086656     3086551    18519307
          6                     fb_subp0_read_sectors          17          57          30         182
          6                     fb_subp1_read_sectors          16          64          32         192
          6                    fb_subp0_write_sectors      123955      135831      130915      785495
          6                    fb_subp1_write_sectors      106899      115267      111676      670057
          6              l2_subp0_write_sector_misses      122413      133638      128943      773663
          6              l2_subp1_write_sector_misses      108441      117460      113648      681889
          6               l2_subp0_read_sector_misses          16          56          29         176
          6               l2_subp1_read_sector_misses          17          65          33         198
          6          l2_subp0_read_tex_sector_queries      337853      338482      338097     2028583
          6          l2_subp1_read_tex_sector_queries      333109      333837      333358     2000149
          6         l2_subp0_write_tex_sector_queries     1383056     1383152     1383096     8298576
          6         l2_subp1_write_tex_sector_queries     1369360     1369456     1369416     8216496
          6             l2_subp0_read_tex_hit_sectors      337918      338368      338109     2028658
          6             l2_subp1_read_tex_hit_sectors      333247      333603      333354     2000125
          6            l2_subp0_write_tex_hit_sectors     1313644     1313756     1313700     7882200
          6            l2_subp1_write_tex_hit_sectors     1300004     1300116     1300060     7800360
          6        l2_subp0_total_read_sector_queries      337872      338328      338147     2028884
          6        l2_subp1_total_read_sector_queries      333248      333688      333497     2000986
          6       l2_subp0_total_write_sector_queries     1383061     1383141     1383090     8298542
          6       l2_subp1_total_write_sector_queries     1369384     1369464     1369434     8216608
          6       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          6       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          6      l2_subp0_write_sysmem_sector_queries           5           5           5          30
          6      l2_subp1_write_sysmem_sector_queries           0           0           0           0
