==14071== NVPROF is profiling process 14071, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14071== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14071== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
168.55ms  16.092us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetPCIBusId
204.05ms  2.2170us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
204.06ms     515ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
204.64ms  1.3980us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
204.64ms  1.5940us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.65ms     529ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.65ms     581ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.67ms     859ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuModuleGetLoadingMode
204.73ms     432ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetCount
204.74ms     327ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGet
204.74ms  27.215us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetName
204.77ms  12.139us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceTotalMem
204.78ms     840ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.78ms     404ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.78ms     459ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.78ms     465ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.78ms     611ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.78ms  74.283us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.86ms     548ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.86ms     382ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.86ms     408ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.86ms     374ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.86ms     855ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.86ms     369ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.86ms     365ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.86ms     399ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     403ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     361ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     361ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     370ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     357ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     391ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     364ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     362ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     406ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.87ms     364ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     366ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     362ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     367ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     361ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     368ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     382ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     364ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     421ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     361ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     362ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     361ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     408ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.88ms     390ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.89ms     361ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.90ms     751ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     436ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     372ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     431ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     340ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     370ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     368ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     410ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     362ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms     406ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
204.91ms  168.47us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.08ms     480ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     467ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     568ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     356ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     406ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     450ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     451ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     524ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     395ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     398ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     356ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     389ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.09ms     398ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.10ms     409ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.10ms     391ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.10ms     397ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.10ms     393ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.10ms     489ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.10ms     405ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.10ms     407ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.10ms     399ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.10ms  130.12us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.23ms     478ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.23ms     490ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.23ms     418ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.24ms     442ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.24ms     401ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.24ms     405ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.24ms     396ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.24ms  1.6070us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.24ms     522ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.24ms     402ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.24ms     390ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.24ms  1.0250us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.24ms     425ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.25ms     696ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.25ms     353ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.25ms     423ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.25ms     390ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.25ms     611ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetUuid
205.25ms     453ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.25ms     390ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.25ms     392ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.25ms     391ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.25ms  1.2450us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.26ms     463ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.26ms     413ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.26ms     603ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.26ms     425ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.26ms     393ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.26ms     393ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.26ms     505ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.26ms     380ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.26ms     405ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.26ms     393ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.26ms     447ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
205.41ms  275.01ms                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
480.42ms  9.9940us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
